match_id,season,date,team1,team2,venue,team1_elo,team2_elo,elo_diff,team1_win_rate_last10,team2_win_rate_last10,team1_win_rate_last5,team2_win_rate_last5,team1_weighted_win_rate,team2_weighted_win_rate,team1_win_streak,team2_win_streak,h2h_win_rate_t1,venue_win_rate_t1,venue_win_rate_t2,venue_avg_score,is_home_t1,is_home_t2,team1_pp_sr,team2_pp_sr,team1_death_sr,team2_death_sr,team1_pp_bowling_eco,team2_pp_bowling_eco,team1_death_bowling_eco,team2_death_bowling_eco,team1_avg_runs_scored,team2_avg_runs_scored,team1_avg_runs_conceded,team2_avg_runs_conceded,team1_batting_str,team2_batting_str,team1_bowling_str,team2_bowling_str,toss_win_t1,toss_field_t1,pitch_type_code,is_spin_pitch,is_batting_pitch,is_sluggish,dew_risk,team1_pitch_win_rate,team2_pitch_win_rate,winner_binary,run_scoring_diff,run_conceding_diff,form_diff,venue_diff,batting_diff,bowling_diff,pitch_win_rate_diff
392181,2009,2009-04-18,CSK,MI,Newlands,1515.7979046674282,1508.0347521219608,7.763152545467392,0.5,0.7,0.4,0.4,0.4962962962962963,0.6444444444444444,-1,1,0.5,0.5625,0.5,165.0,0,0,111.68384879725086,121.86878727634193,167.94871794871796,148.13278008298755,7.802083333333334,6.869047619047619,9.626582278481012,9.885245901639344,163.0,166.33333333333334,149.0,155.5,132.0461167339064,133.6327812475536,8.174167039856695,7.715984519362022,1,1,1,0,0,0,0,0.48,0.4091,0,-3.333333333333343,6.5,-0.19999999999999996,0.0625,-1.5866645136472073,-0.458182520494673,0.07089999999999996
392182,2009,2009-04-18,RCB,RR,Newlands,1445.257876313364,1595.4904095113832,-150.23253319801915,0.3,0.8,0.4,0.8,0.31851851851851853,0.8148148148148148,-1,2,0.0,0.2857142857142857,0.8125,165.0,0,0,100.1984126984127,120.17241379310344,150.5703422053232,143.77358490566036,7.178571428571429,7.114583333333333,10.044052863436123,9.437086092715232,134.0,201.5,181.0,176.33333333333334,132.3081768152791,136.67872857798395,8.054050868698226,7.666769457263385,1,0,1,0,0,0,0,0.64,0.4722,1,-67.5,-4.666666666666657,-0.5,-0.5267857142857143,-4.370551762704849,-0.3872814114348415,0.1678
392183,2009,2009-04-19,DC,PBKS,Newlands,1497.381471592832,1545.6223076081685,-48.24083601533653,0.4,0.7,0.6,0.6,0.41481481481481475,0.6666666666666666,-1,-1,0.0,0.5,0.6666666666666666,165.0,0,0,132.01581027667984,137.03703703703704,156.58536585365854,159.8639455782313,7.880952380952381,7.0777777777777775,9.730263157894736,9.701694915254237,156.0,174.0,174.0,175.0,142.79859957137418,150.5499334220708,7.317117958294429,7.949770026186799,1,1,1,0,0,0,0,0.4324,0.3714,1,-18.0,1.0,-0.29999999999999993,-0.16666666666666663,-7.751333850696625,0.6326520678923702,0.061
392184,2009,2009-04-19,SRH,KKR,Newlands,1399.4927482615342,1492.9225299233296,-93.42978166179546,0.1,0.4,0.0,0.4,0.08148148148148149,0.4222222222222222,-7,1,0.0,0.14285714285714285,0.46153846153846156,165.0,0,0,116.69941060903733,102.9787234042553,172.63513513513513,177.86561264822134,7.559523809523809,6.683870967741935,11.080459770114942,9.243243243243244,162.33333333333334,124.0,186.0,174.0,133.69050432036002,138.0484016941089,8.240412765706884,7.591484747136922,0,0,1,0,0,0,0,0.4595,0.5172,1,38.33333333333334,-12.0,-0.30000000000000004,-0.3186813186813187,-4.3578973737488695,-0.6489280185699622,-0.057699999999999974
392185,2009,2009-04-20,RCB,CSK,St George's Park,1467.7751306840407,1499.4404577653645,-31.665327081323767,0.4,0.5,0.6,0.4,0.42962962962962964,0.4592592592592593,1,-2,0.5,0.3333333333333333,0.5294117647058824,165.0,0,0,100.1984126984127,111.68384879725086,150.5703422053232,167.94871794871796,7.178571428571429,7.802083333333334,10.044052863436123,9.626582278481012,133.75,163.0,165.0,158.75,132.3081768152791,132.0461167339064,8.054050868698226,8.174167039856695,0,0,1,0,0,0,0,0.64,0.48,0,-29.25,-6.25,-0.09999999999999998,-0.19607843137254904,0.2620600813727094,0.12011617115846818,0.16000000000000003
392186,2009,2009-04-21,PBKS,KKR,Kingsmead,1527.414902222201,1472.720727507442,54.6941747147589,0.6,0.4,0.4,0.2,0.5555555555555555,0.3925925925925926,-2,-1,0.5,0.625,0.42857142857142855,152.0,0,0,137.03703703703704,102.9787234042553,159.8639455782313,177.86561264822134,7.0777777777777775,6.683870967741935,9.701694915254237,9.243243243243244,152.75,116.0,175.0,174.0,150.5499334220708,138.0484016941089,7.949770026186799,7.591484747136922,0,0,1,0,0,0,0,0.3714,0.5172,0,36.75,-1.0,0.19999999999999996,0.19642857142857145,12.501531727961918,-0.35828527904987784,-0.14579999999999999
392188,2009,2009-04-22,RCB,SRH,Newlands,1453.2293486150227,1419.6945506774218,33.53479793760084,0.3,0.2,0.6,0.2,0.34074074074074073,0.2074074074074074,-1,1,1.0,0.3125,0.2,165.0,0,0,100.1984126984127,116.69941060903733,150.5703422053232,172.63513513513513,7.178571428571429,7.559523809523809,10.044052863436123,11.080459770114942,127.0,162.33333333333334,172.0,139.5,132.3081768152791,133.69050432036002,8.054050868698226,8.240412765706884,0,0,1,0,0,0,0,0.64,0.4595,0,-35.33333333333334,-32.5,0.09999999999999998,0.11249999999999999,-1.382327505080923,0.18636189700865735,0.1805
392189,2009,2009-04-23,CSK,DC,Kingsmead,1513.9862398343826,1515.5888769787996,-1.6026371444170309,0.5,0.4,0.6,0.6,0.4962962962962963,0.4592592592592592,1,1,0.5,0.5555555555555556,0.5333333333333333,152.0,0,0,111.68384879725086,132.01581027667984,167.94871794871796,156.58536585365854,7.802083333333334,7.880952380952381,9.626582278481012,9.730263157894736,171.0,118.0,141.33333333333334,156.5,132.0461167339064,142.79859957137418,8.174167039856695,7.317117958294429,0,0,1,0,0,0,0,0.48,0.4324,0,53.0,15.166666666666657,0.09999999999999998,0.022222222222222254,-10.752482837467795,-0.8570490815622653,0.047599999999999976
392191,2009,2009-04-24,RCB,PBKS,Kingsmead,1435.6897921143577,1508.9167446947833,-73.22695258042563,0.3,0.5,0.4,0.2,0.31851851851851853,0.4518518518518518,-2,-3,0.0,0.29411764705882354,0.5882352941176471,152.0,0,0,100.1984126984127,137.03703703703704,150.5703422053232,159.8639455782313,7.178571428571429,7.0777777777777775,10.044052863436123,9.701694915254237,127.5,153.8,176.0,160.0,132.3081768152791,150.5499334220708,8.054050868698226,7.949770026186799,1,0,1,0,0,0,0,0.64,0.3714,0,-26.30000000000001,-16.0,-0.2,-0.29411764705882354,-18.24175660679171,-0.104280842511427,0.2686
392192,2009,2009-04-25,SRH,MI,Kingsmead,1437.2341071780868,1524.3921990240244,-87.15809184593763,0.3,0.7,0.4,0.4,0.32592592592592595,0.6666666666666666,2,2,0.5,0.25,0.5333333333333333,152.0,0,0,116.69941060903733,121.86878727634193,172.63513513513513,148.13278008298755,7.559523809523809,6.869047619047619,11.080459770114942,9.885245901639344,167.75,162.0,101.0,155.5,133.69050432036002,133.6327812475536,8.240412765706884,7.715984519362022,1,0,1,0,0,0,0,0.4595,0.4091,1,5.75,54.5,-0.39999999999999997,-0.2833333333333333,0.05772307280642508,-0.5244282463448622,0.0504
392194,2009,2009-04-26,RCB,DC,St George's Park,1423.0129563524945,1531.5150733342884,-108.50211698179396,0.3,0.5,0.2,0.8,0.2962962962962962,0.562962962962963,-3,2,0.0,0.2777777777777778,0.5625,165.0,0,0,100.1984126984127,132.01581027667984,150.5703422053232,156.58536585365854,7.178571428571429,7.880952380952381,10.044052863436123,9.730263157894736,141.0,189.0,181.5,156.5,132.3081768152791,142.79859957137418,8.054050868698226,7.317117958294429,1,0,1,0,0,0,0,0.64,0.4324,0,-48.0,-25.0,-0.2,-0.2847222222222222,-10.490422756095086,-0.7369329104037972,0.2076
392195,2009,2009-04-26,PBKS,RR,Newlands,1521.5935804566466,1572.9731551407065,-51.37957468405989,0.6,0.7,0.4,0.4,0.548148148148148,0.637037037037037,1,-1,0.5,0.6111111111111112,0.7222222222222222,165.0,0,0,137.03703703703704,120.17241379310344,159.8639455782313,143.77358490566036,7.0777777777777775,7.114583333333333,9.701694915254237,9.437086092715232,148.75,171.0,168.0,172.33333333333334,150.5499334220708,136.67872857798395,7.949770026186799,7.666769457263385,1,0,1,0,0,0,0,0.3714,0.4722,1,-22.25,4.333333333333343,-0.09999999999999998,-0.11111111111111105,13.871204844086861,-0.2830005689234145,-0.1008
